source,sentiment,sentence_count,avg_confidence
Harrison,NEGATIVE,1788,0.8894037472035794
Harrison,POSITIVE,8790,0.9613084300341296
Lincoln,NEGATIVE,1769,0.8957625211984173
Lincoln,POSITIVE,1805,0.8934780609418284
